URL,Impressions,Clicks,CTR,Position
https://www.dhmguide.com/never-hungover/dhm-dosage-guide-2025,12000,89,0.74%,5.2
https://www.dhmguide.com/never-hungover/activated-charcoal-hangover,800,42,5.25%,18.0
https://www.dhmguide.com/never-hungover/alcohol-eye-health-complete-vision-impact-guide-2025,1200,28,2.33%,22.0
https://www.dhmguide.com/never-hungover/liver-health-alcohol-supplements-dhm-2025,250,15,6.00%,35.0
https://www.dhmguide.com/never-hungover/british-pub-culture-guide,5,0,0.00%,95.0
https://www.dhmguide.com/never-hungover/french-wine-culture-guide,3,0,0.00%,99.0
https://www.dhmguide.com/never-hungover/german-beer-culture-guide,0,0,0.00%,
https://www.dhmguide.com/never-hungover/spanish-drinking-culture-guide,1,0,0.00%,98.0
https://www.dhmguide.com/never-hungover/italian-drinking-culture-guide,180,8,4.44%,42.0
https://www.dhmguide.com/never-hungover/business-dinner-networking-dhm-guide-2025,2,0,0.00%,92.0
https://www.dhmguide.com/never-hungover/bachelor-bachelorette-party-dhm-2025,0,0,0.00%,
https://www.dhmguide.com/never-hungover/executive-cognitive-performance-alcohol-impact-business-decision-making,1,0,0.00%,100.0
https://www.dhmguide.com/never-hungover/quantum-health-monitoring-alcohol-advanced-biomonitoring-guide-2025,8,0,0.00%,88.0
https://www.dhmguide.com/never-hungover/adaptogenic-beverages-ancient-wisdom-meets-modern-alcohol-alternatives,4,0,0.00%,85.0
https://www.dhmguide.com/never-hungover/advanced-liver-detox-science-vs-marketing-myths-2025,95,5,5.26%,28.0
https://www.dhmguide.com/never-hungover/alcohol-and-bone-health-complete-skeletal-impact-analysis,18,0,0.00%,65.0
https://www.dhmguide.com/never-hungover/nonexistent-slug-foo,50,2,4.00%,30.0
https://www.dhmguide.com/reviews,7500,420,5.60%,4.2
